"Begin","End","sclk","Label"
2020-04-08T00:01:34.805000,2020-04-08T00:01:34.927880, 639576413:65367, "Orbit 26 - Burst Packet 2020-099 - #001”
2020-04-08T00:01:35.805000,2020-04-08T00:01:35.927880, 639576414:65367, "Orbit 26 - Burst Packet 2020-099 - #002"
2020-04-08T00:01:36.805000,2020-04-08T00:01:36.927880, 639576415:65367, "Orbit 26 - Burst Packet 2020-099 - #003”
