# Generated by Autoplot on Mon May 09 13:58:52 CDT 2022
# TITLE: RBSP-A/EMFISIS  electron density
# UNITS: cm**-3
 Epoch(UTC), density(cm**-3)
2018-01-30T00:53:16.122Z, 1444.8
2018-01-30T00:53:22.122Z, 1445.4
2018-01-30T00:53:28.122Z, 1445.9
2018-01-30T00:53:34.122Z, 1446.5
2018-01-30T00:53:40.122Z, 1446.9
2018-01-30T00:53:46.122Z, 1310.1
2018-01-30T00:53:52.122Z, 1310.4
2018-01-30T00:53:58.122Z, 1311.1
2018-01-30T00:54:04.122Z, 1311.4
2018-01-30T00:54:10.122Z, 1312.1
2018-01-30T00:54:16.122Z, 1312.3
2018-01-30T00:54:22.122Z, 1313.0
2018-01-30T00:54:28.122Z, 1313.2
2018-01-30T00:54:34.122Z, 1313.9
2018-01-30T00:54:40.122Z, 1314.1
2018-01-30T00:54:46.122Z, 1314.8
2018-01-30T00:54:52.122Z, 1315.1
2018-01-30T00:54:58.122Z, 1315.6
2018-01-30T00:55:04.122Z, 1191.1
2018-01-30T00:55:10.122Z, 1316.5
2018-01-30T00:55:16.122Z, 1316.8
2018-01-30T00:55:22.122Z, 1606.1
2018-01-30T00:55:28.122Z, 1606.4
2018-01-30T00:55:34.122Z, 1318.2
2018-01-30T00:55:40.122Z, 1193.7
2018-01-30T00:55:46.122Z, 1194.2
2018-01-30T00:55:52.122Z, 1194.5
2018-01-30T00:55:58.122Z, 1195.0
2018-01-30T00:56:04.123Z, 1195.2
2018-01-30T00:56:10.122Z, 1195.8
2018-01-30T00:56:16.123Z, 1458.3
2018-01-30T00:56:22.123Z, 1458.9
2018-01-30T00:56:28.123Z, 1459.0
2018-01-30T00:56:34.123Z, 1322.1
2018-01-30T00:56:40.123Z, 1322.3
2018-01-30T00:56:46.123Z, 1322.8
2018-01-30T00:56:52.123Z, 1323.0
2018-01-30T00:56:58.123Z, 1323.5
2018-01-30T00:57:04.123Z, 1323.8
2018-01-30T00:57:10.123Z, 1324.2
2018-01-30T00:57:16.123Z, 1461.9
2018-01-30T00:57:22.123Z, 1462.3
2018-01-30T00:57:28.123Z, 1462.6
2018-01-30T00:57:34.123Z, 1463.0
2018-01-30T00:57:40.123Z, 1463.3
2018-01-30T00:57:46.123Z, 1326.3
2018-01-30T00:57:52.123Z, 1326.5
2018-01-30T00:57:58.123Z, 1326.9
2018-01-30T00:58:04.123Z, 1327.2
2018-01-30T00:58:10.123Z, 1327.6
2018-01-30T00:58:16.123Z, 1327.8
2018-01-30T00:58:22.123Z, 1465.7
2018-01-30T00:58:28.123Z, 1617.1
2018-01-30T00:58:34.123Z, 1784.1
2018-01-30T00:58:40.123Z, 1784.2
2018-01-30T00:58:46.123Z, 1466.8
2018-01-30T00:58:52.123Z, 1467.0
2018-01-30T00:58:58.123Z, 1330.0
2018-01-30T00:59:04.123Z, 1467.6
2018-01-30T00:59:10.123Z, 1619.2
2018-01-30T00:59:16.123Z, 1619.4
2018-01-30T00:59:22.123Z, 1619.8
2018-01-30T00:59:28.123Z, 1620.0
2018-01-30T00:59:34.123Z, 1620.3
2018-01-30T00:59:40.123Z, 1620.6
2018-01-30T00:59:46.123Z, 1620.9
2018-01-30T00:59:52.123Z, 1621.1
2018-01-30T00:59:58.123Z, 1470.1
2018-01-30T01:00:04.123Z, 1332.9
2018-01-30T01:00:10.123Z, 1333.2
2018-01-30T01:00:16.123Z, 1333.4
2018-01-30T01:00:22.123Z, 1333.8
2018-01-30T01:00:28.123Z, 1471.3
2018-01-30T01:00:34.123Z, 1471.7
2018-01-30T01:00:40.123Z, 1471.8
2018-01-30T01:00:46.123Z, 1472.2
2018-01-30T01:00:52.123Z, 1472.3
2018-01-30T01:00:58.123Z, 1472.6
2018-01-30T01:01:04.123Z, 1335.3
2018-01-30T01:01:10.123Z, 1335.6
2018-01-30T01:01:16.123Z, 1335.8
2018-01-30T01:01:22.123Z, 1336.1
2018-01-30T01:01:28.123Z, 1336.3
2018-01-30T01:01:34.123Z, 1474.0
2018-01-30T01:01:40.123Z, 1792.0
2018-01-30T01:01:46.123Z, 1792.2
2018-01-30T01:01:52.124Z, 1792.4
2018-01-30T01:01:58.123Z, 1474.9
2018-01-30T01:02:04.124Z, 1337.6
2018-01-30T01:02:10.124Z, 1337.9
2018-01-30T01:02:16.124Z, 1338.0
2018-01-30T01:02:22.124Z, 1627.0
2018-01-30T01:02:28.124Z, 1475.9
2018-01-30T01:02:34.124Z, 1627.5
2018-01-30T01:02:40.124Z, 1627.5
2018-01-30T01:02:46.124Z, 1476.6
2018-01-30T01:02:52.124Z, 1627.9
2018-01-30T01:02:58.124Z, 1628.2
2018-01-30T01:03:04.124Z, 1628.3
2018-01-30T01:03:10.124Z, 1628.6
2018-01-30T01:03:16.124Z, 1628.7
2018-01-30T01:03:22.124Z, 1629.0
2018-01-30T01:03:28.124Z, 1629.1
2018-01-30T01:03:34.124Z, 1478.1
2018-01-30T01:03:40.124Z, 1478.2
2018-01-30T01:03:46.124Z, 1629.7
2018-01-30T01:03:52.124Z, 1629.9
2018-01-30T01:03:58.124Z, 1478.8
2018-01-30T01:04:04.124Z, 1479.0
2018-01-30T01:04:10.124Z, 1341.7
2018-01-30T01:04:16.124Z, 1341.9
2018-01-30T01:04:22.124Z, 1342.1
2018-01-30T01:04:28.124Z, 1342.2
2018-01-30T01:04:34.124Z, 1342.4
2018-01-30T01:04:40.124Z, 1480.0
2018-01-30T01:04:46.124Z, 1798.0
2018-01-30T01:04:52.124Z, 1480.3
2018-01-30T01:04:58.124Z, 1480.5
2018-01-30T01:05:04.124Z, 1480.6
2018-01-30T01:05:10.124Z, 1480.8
2018-01-30T01:05:16.124Z, 1480.9
2018-01-30T01:05:22.124Z, 1632.4
2018-01-30T01:05:28.124Z, 1632.5
2018-01-30T01:05:34.124Z, 1632.7
2018-01-30T01:05:40.124Z, 1632.8
2018-01-30T01:05:46.124Z, 1633.0
2018-01-30T01:05:52.124Z, 1633.2
2018-01-30T01:05:58.124Z, 1633.3
2018-01-30T01:06:04.124Z, 1633.5
2018-01-30T01:06:10.124Z, 1633.6
2018-01-30T01:06:16.124Z, 1633.8
2018-01-30T01:06:22.124Z, 1633.9
2018-01-30T01:06:28.124Z, 1634.0
2018-01-30T01:06:34.124Z, 1345.5
2018-01-30T01:06:40.124Z, 1345.6
2018-01-30T01:06:46.124Z, 1483.2
2018-01-30T01:06:52.124Z, 1483.3
2018-01-30T01:06:58.124Z, 1483.5
2018-01-30T01:07:04.124Z, 1483.6
2018-01-30T01:07:10.124Z, 1483.8
2018-01-30T01:07:16.124Z, 1346.4
2018-01-30T01:07:22.124Z, 1221.7
2018-01-30T01:07:28.124Z, 1221.8
2018-01-30T01:07:34.124Z, 1222.0
2018-01-30T01:07:40.124Z, 1222.0
2018-01-30T01:07:46.124Z, 1222.2
2018-01-30T01:07:52.124Z, 1222.3
2018-01-30T01:07:58.124Z, 1484.8
2018-01-30T01:08:04.124Z, 1347.4
2018-01-30T01:08:10.124Z, 1485.0
2018-01-30T01:08:16.124Z, 1636.4
2018-01-30T01:08:22.125Z, 1347.8
2018-01-30T01:08:28.125Z, 1347.9
2018-01-30T01:08:34.125Z, 1223.2
2018-01-30T01:08:40.125Z, 1223.3
2018-01-30T01:08:46.125Z, 1223.4
2018-01-30T01:08:52.125Z, 1223.5
2018-01-30T01:08:58.125Z, 1223.7
2018-01-30T01:09:04.125Z, 1348.6
2018-01-30T01:09:10.125Z, 1348.8
2018-01-30T01:09:16.125Z, 1348.8
2018-01-30T01:09:22.125Z, 1224.1
2018-01-30T01:09:28.125Z, 1224.2
2018-01-30T01:09:34.125Z, 1224.3
2018-01-30T01:09:40.125Z, 1224.4
2018-01-30T01:09:46.125Z, 1224.5
2018-01-30T01:09:52.125Z, 1224.6
2018-01-30T01:09:58.125Z, 1349.6
2018-01-30T01:10:04.125Z, 1487.1
2018-01-30T01:10:10.125Z, 1349.8
2018-01-30T01:10:16.125Z, 1487.4
2018-01-30T01:10:22.125Z, 1487.5
2018-01-30T01:10:28.125Z, 1487.6
2018-01-30T01:10:34.125Z, 1225.4
2018-01-30T01:10:40.125Z, 1225.5
2018-01-30T01:10:46.125Z, 1225.6
2018-01-30T01:10:52.125Z, 1225.6
2018-01-30T01:10:58.125Z, 1225.8
2018-01-30T01:11:04.125Z, 1488.1
2018-01-30T01:11:10.125Z, 1488.3
2018-01-30T01:11:16.125Z, 1350.9
2018-01-30T01:11:22.125Z, 1351.0
2018-01-30T01:11:28.125Z, 1351.1
2018-01-30T01:11:34.125Z, 1226.3
2018-01-30T01:11:40.125Z, 1226.4
2018-01-30T01:11:46.125Z, 1226.5
2018-01-30T01:11:52.125Z, 1226.6
2018-01-30T01:11:58.125Z, 1226.7
2018-01-30T01:12:04.125Z, 1226.7
2018-01-30T01:12:10.125Z, 1351.7
2018-01-30T01:12:16.125Z, 1226.9
2018-01-30T01:12:22.125Z, 1227.0
2018-01-30T01:12:28.125Z, 1227.1
2018-01-30T01:12:34.125Z, 1227.2
2018-01-30T01:12:40.125Z, 1227.3
2018-01-30T01:12:46.125Z, 1227.4
2018-01-30T01:12:52.125Z, 1227.4
2018-01-30T01:12:58.125Z, 1227.5
2018-01-30T01:13:04.125Z, 1227.6
2018-01-30T01:13:10.125Z, 1227.7
2018-01-30T01:13:16.125Z, 1490.0
2018-01-30T01:13:22.125Z, 1227.9
2018-01-30T01:13:28.125Z, 1490.2
2018-01-30T01:13:34.125Z, 1490.3
2018-01-30T01:13:40.125Z, 1228.0
2018-01-30T01:13:46.125Z, 1114.7
2018-01-30T01:13:52.125Z, 1114.7
2018-01-30T01:13:58.125Z, 1114.9
2018-01-30T01:14:04.125Z, 1114.9
2018-01-30T01:14:10.125Z, 1115.0
2018-01-30T01:14:16.125Z, 1353.4
2018-01-30T01:14:22.125Z, 1353.5
2018-01-30T01:14:28.125Z, 1228.7
2018-01-30T01:14:34.125Z, 1353.6
2018-01-30T01:14:40.126Z, 1228.8
2018-01-30T01:14:46.126Z, 1228.9
2018-01-30T01:14:52.126Z, 1228.9
2018-01-30T01:14:58.126Z, 1115.6
2018-01-30T01:15:04.126Z, 1115.6
2018-01-30T01:15:10.126Z, 1115.7
2018-01-30T01:15:16.126Z, 1115.8
2018-01-30T01:15:22.126Z, 1354.2
2018-01-30T01:15:28.126Z, 1229.3
2018-01-30T01:15:34.126Z, 1116.0
2018-01-30T01:15:40.126Z, 1229.5
2018-01-30T01:15:46.126Z, 1354.4
2018-01-30T01:15:52.126Z, 1116.1
2018-01-30T01:15:58.126Z, 1116.2
2018-01-30T01:16:04.126Z, 1116.3
2018-01-30T01:16:10.126Z, 1116.4
2018-01-30T01:16:16.126Z, 1116.4
2018-01-30T01:16:22.126Z, 1229.9
2018-01-30T01:16:28.126Z, 1230.0
2018-01-30T01:16:34.126Z, 1116.6
2018-01-30T01:16:40.126Z, 1355.0
2018-01-30T01:16:46.126Z, 1230.2
2018-01-30T01:16:52.126Z, 1230.2
2018-01-30T01:16:58.126Z, 1116.8
2018-01-30T01:17:04.126Z, 1116.9
2018-01-30T01:17:10.126Z, 1230.4
2018-01-30T01:17:16.126Z, 1117.0
2018-01-30T01:17:22.126Z, 1117.1
2018-01-30T01:17:28.126Z, 1230.6
2018-01-30T01:17:34.126Z, 1355.5
2018-01-30T01:17:40.126Z, 1117.2
2018-01-30T01:17:46.126Z, 1117.3
2018-01-30T01:17:52.126Z, 1117.3
2018-01-30T01:17:58.126Z, 1117.4
2018-01-30T01:18:04.126Z, 1117.4
2018-01-30T01:18:10.126Z, 1117.5
2018-01-30T01:18:16.126Z, 1117.6
2018-01-30T01:18:22.126Z, 1117.6
2018-01-30T01:18:28.126Z, 1117.7
2018-01-30T01:18:34.126Z, 1231.2
2018-01-30T01:18:40.126Z, 1231.2
2018-01-30T01:18:46.126Z, 1117.8
2018-01-30T01:18:52.126Z, 1231.3
2018-01-30T01:18:58.126Z, 1231.4
2018-01-30T01:19:04.126Z, 1231.4
2018-01-30T01:19:10.126Z, 1231.5
2018-01-30T01:19:16.126Z, 1231.5
2018-01-30T01:19:22.126Z, 1231.6
2018-01-30T01:19:28.126Z, 1231.6
2018-01-30T01:19:34.126Z, 1231.7
2018-01-30T01:19:40.126Z, 1231.7
2018-01-30T01:19:46.126Z, 1015.3
2018-01-30T01:19:52.126Z, 1231.8
2018-01-30T01:19:58.126Z, 1231.9
2018-01-30T01:20:04.126Z, 1231.9
2018-01-30T01:20:10.126Z, 1015.5
2018-01-30T01:20:16.126Z, 921.84
2018-01-30T01:20:22.126Z, 921.90
2018-01-30T01:20:28.126Z, 921.94
2018-01-30T01:20:34.126Z, 921.99
2018-01-30T01:20:40.126Z, 1118.7
2018-01-30T01:20:46.126Z, 1118.8
2018-01-30T01:20:52.126Z, 1015.8
2018-01-30T01:20:58.126Z, 1118.9
2018-01-30T01:21:04.126Z, 1118.9
2018-01-30T01:21:10.126Z, 1015.9
2018-01-30T01:21:16.127Z, 1015.9
2018-01-30T01:21:22.127Z, 1119.0
2018-01-30T01:21:28.127Z, 1119.1
2018-01-30T01:21:34.127Z, 1119.1
2018-01-30T01:21:40.127Z, 1119.1
2018-01-30T01:21:46.127Z, 1232.7
2018-01-30T01:21:52.127Z, 1016.2
2018-01-30T01:21:58.127Z, 1016.2
2018-01-30T01:22:04.127Z, 1232.8
